Year,Units,Value
2010,goverment spending on environmental protection (cofog section 5) (bn eur),15.479
2011,goverment spending on environmental protection (cofog section 5) (bn eur),15.796
2012,goverment spending on environmental protection (cofog section 5) (bn eur),16.569
2013,goverment spending on environmental protection (cofog section 5) (bn eur),17.376
2014,goverment spending on environmental protection (cofog section 5) (bn eur),17.689
2015,goverment spending on environmental protection (cofog section 5) (bn eur),17.795
2016,goverment spending on environmental protection (cofog section 5) (bn eur),19.279
2017,goverment spending on environmental protection (cofog section 5) (bn eur),20.672
2018,goverment spending on environmental protection (cofog section 5) (bn eur),22.021
2010,"goverment spending on recreation, culture and religion (cofog section 8) (bn eur)",20.992
2011,"goverment spending on recreation, culture and religion (cofog section 8) (bn eur)",21.550
2012,"goverment spending on recreation, culture and religion (cofog section 8) (bn eur)",20.681
2013,"goverment spending on recreation, culture and religion (cofog section 8) (bn eur)",29.030
2014,"goverment spending on recreation, culture and religion (cofog section 8) (bn eur)",30.520
2015,"goverment spending on recreation, culture and religion (cofog section 8) (bn eur)",31.142
2016,"goverment spending on recreation, culture and religion (cofog section 8) (bn eur)",32.285
2017,"goverment spending on recreation, culture and religion (cofog section 8) (bn eur)",33.277
2018,"goverment spending on recreation, culture and religion (cofog section 8) (bn eur)",34.961
